season,team_name,player_id,player_name,injury_type,reason,fixture_date,end_date,days_out
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Knee Injury,2023-08-12,,193
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,Knock,2023-08-12,,171
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Knee Injury,2023-08-21,,193
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-08-21,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,Knock,2023-08-21,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-08-26,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,Knock,2023-08-26,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-09-03,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,Knock,2023-09-03,,171
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-09-03,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-09-17,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,Knock,2023-09-17,,171
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-09-17,,171
2023-2024,Arsenal,127769,G. Martinelli,Missing Fixture,Muscle Injury,2023-09-20,,0
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-09-20,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-09-20,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-09-24,,250
2023-2024,Arsenal,1946,L. Trossard,Missing Fixture,Muscle Injury,2023-09-24,,0
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-09-24,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-09-30,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-09-30,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-10-03,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-10-08,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-10-21,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-10-24,,250
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Muscle Injury,2023-10-28,,193
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-10-28,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-10-28,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-11-04,,98
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Muscle Injury,2023-11-04,,193
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-11-04,,250
2023-2024,Arsenal,37127,M. Odegaard,Missing Fixture,Injury,2023-11-04,,4
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-11-04,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-11-08,,98
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Muscle Injury,2023-11-08,,193
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-11-08,,250
2023-2024,Arsenal,37127,M. Odegaard,Missing Fixture,Injury,2023-11-08,,4
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-11-08,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-11-11,,98
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Muscle Injury,2023-11-11,,193
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-11-11,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-11-11,,171
2023-2024,Arsenal,19465,D. Raya,Missing Fixture,Loan agreement,2023-11-25,,105
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-11-25,,98
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Red Card,2023-11-25,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-11-25,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-11-25,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-11-29,,98
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-11-29,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-11-29,,250
