Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2023-04-12,21:00,Champions Lg,Quarter-finals,Wed,Away,L,0,2,esReal Madrid,43,"63,142",Thiago Silva,,4-3-3,François Letexier,https://fbref.com/en/matches/0e7d4ede/Real-Madrid-Chelsea-April-12-2023-Champions-League,Match Report,Leg 1 of 2
2023-04-15,15:00(16:00),Premier League,Matchweek 31,Sat,Home,L,1,2,Brighton,42,"40,126",Kepa Arrizabalaga,4-2-3-1,4-2-3-1,Robert Jones,https://fbref.com/en/matches/18e7d354/Chelsea-Brighton-and-Hove-Albion-April-15-2023-Premier-League,Match Report,
2023-04-18,20:00(21:00),Champions Lg,Quarter-finals,Tue,Home,L,0,2,esReal Madrid,54,"39,453",Thiago Silva,,4-3-3,Daniele Orsato,https://fbref.com/en/matches/aac9025a/Chelsea-Real-Madrid-April-18-2023-Champions-League,Match Report,Leg 2 of 2; Real Madrid won
2023-04-26,19:45(20:45),Premier League,Matchweek 33,Wed,Home,L,0,2,Brentford,73,"39,929",César Azpilicueta,3-4-3,5-3-2,Andy Madley,https://fbref.com/en/matches/071b5820/Chelsea-Brentford-April-26-2023-Premier-League,Match Report,
2023-05-02,20:00(21:00),Premier League,Matchweek 34,Tue,Away,L,1,3,Arsenal,45,"60,144",César Azpilicueta,4-3-3,4-3-3,Robert Jones,https://fbref.com/en/matches/2d551ff5/North-West-London-Derby-Arsenal-Chelsea-May-2-2023-Premier-League,Match Report,
2023-05-06,15:00(16:00),Premier League,Matchweek 35,Sat,Away,W,3,1,Bournemouth,66,"10,357",Thiago Silva,4-3-3,4-2-3-1,John Brooks,https://fbref.com/en/matches/6116824f/Bournemouth-Chelsea-May-6-2023-Premier-League,Match Report,
2023-05-13,15:00(16:00),Premier League,Matchweek 36,Sat,Home,D,2,2,Nottingham Forest,76,"40,030",Thiago Silva,4-3-3,3-4-3,Paul Tierney,https://fbref.com/en/matches/96ab0b45/Chelsea-Nottingham-Forest-May-13-2023-Premier-League,Match Report,
2023-05-21,16:00(17:00),Premier League,Matchweek 37,Sun,Away,L,0,1,Manchester City,35,"53,490",César Azpilicueta,3-4-1-2,3-4-3,Michael Oliver,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,Match Report,
2023-05-25,20:00(21:00),Premier League,Matchweek 32,Thu,Away,L,1,4,Manchester Utd,59,"73,561",César Azpilicueta,4-3-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/d2f2263d/Manchester-United-Chelsea-May-25-2023-Premier-League,Match Report,
2023-05-28,16:30(17:30),Premier League,Matchweek 38,Sun,Home,D,1,1,Newcastle United,65,"40,130",César Azpilicueta,4-2-3-1,4-3-3,Jarred Gillett,https://fbref.com/en/matches/4f7b1a0d/Chelsea-Newcastle-United-May-28-2023-Premier-League,Match Report,
