team_id,Opponent
1,Arsenal
2,Aston Villa
3,Bournemouth
4,Brentford
5,Brighton
6,Chelsea
7,Crystal Palace
8,Everton
9,Fulham
10,Ipswich Town
11,Leicester City
12,Leyton Orient
13,Liverpool
14,Manchester Utd
15,Newcastle United
16,Nottingham Forest
17,Plymouth Argyle
18,Salford City FC
19,Southampton
20,Tottenham Hotspur
21,Watford
22,West Ham United
23,Wolves
24,beClub Brugge
25,czSparta Prague
26,esReal Madrid
27,frParis Saint-Germain
28,itInter
29,itJuventus
30,nlFeyenoord
31,ptSporting CP
32,skSlovan Bratislava
