team,appearances,minutesPlayed,goals,assists,keyPasses,bigChancesCreated,successfulDribbles,accurateCrosses,shotsOnTarget,totalShots,rating
Beşiktaş JK,5,450,0,0,0,0,0,0,0,0,6.36
Shakhtar Donetsk,1,8,0,0,0,0,0,0,0,0,6.3
Lille,2,180,0,0,0,0,0,0,0,0,6.3
RB Leipzig,5,450,0,0,0,0,0,0,0,0,6.18
AFC Ajax,2,180,0,0,0,0,1,0,0,0,6.15
Sporting CP,1,90,0,0,0,0,0,0,0,0,6.1
Zenit St. Petersburg,5,444,0,2,14,2,3,6,0,5,7.64
Liverpool FC,3,180,0,0,4,1,5,2,1,3,7.5
Manchester City,9,840,2,3,14,4,19,4,4,11,7.49
Liverpool FC,9,794,0,3,23,5,5,25,1,13,7.44
Liverpool FC,5,344,0,2,9,4,5,10,0,0,7.44
Sporting CP,6,540,2,0,0,0,2,0,2,7,7.37
Chelsea,6,504,1,0,9,1,7,7,5,13,7.35
Manchester United,2,180,0,0,0,0,1,0,0,0,7.35
FC Bayern München,7,483,0,2,8,2,27,7,2,6,7.34
AFC Ajax,8,720,0,1,8,2,2,0,2,7,7.31
Villarreal,2,92,0,0,2,1,0,0,0,0,7.3
Juventus,7,580,0,0,1,1,1,0,0,0,7.27
Inter,8,720,1,0,1,0,3,2,3,10,7.25
Liverpool FC,10,826,0,3,25,3,9,16,2,5,7.22
Atlético Madrid,10,822,0,0,4,0,5,2,0,0,7.22
Manchester United,4,292,1,0,4,0,4,6,1,1,7.2
Manchester City,1,90,0,0,0,0,3,0,0,0,7.2
Paris Saint-Germain,2,165,0,0,0,0,1,0,0,0,7.2
Sevilla,5,450,0,0,0,0,5,0,2,5,7.2
FC Porto,5,349,0,0,2,1,0,0,1,2,7.2
Liverpool FC,9,810,0,0,0,0,4,0,3,5,7.2
Chelsea,9,762,0,1,6,0,0,1,2,7,7.18
Liverpool FC,8,720,2,0,4,0,2,0,2,7,7.18
Atalanta,4,360,0,0,6,4,0,5,1,4,7.18
Zenit St. Petersburg,6,497,1,2,3,0,4,4,3,7,7.15
Atalanta,5,450,1,1,1,1,0,0,1,3,7.14
AFC Ajax,8,571,1,1,6,1,6,7,2,4,7.13
FC Bayern München,8,571,0,0,1,0,7,2,1,6,7.13
Juventus,5,450,0,1,4,0,1,0,0,1,7.12
FC Bayern München,10,764,0,1,4,1,2,3,1,9,7.11
FC Barcelona,5,393,1,0,0,0,0,0,1,2,7.1
AFC Ajax,8,661,0,2,10,1,10,3,3,9,7.1
Shakhtar Donetsk,1,90,0,0,1,0,1,0,0,1,7.1
Chelsea,4,194,0,0,4,1,0,4,1,8,7.1
Paris Saint-Germain,8,720,0,1,2,1,0,0,0,0,7.09
Borussia Dortmund,5,358,0,0,2,1,3,0,0,3,7.08
Chelsea,9,840,1,1,5,1,3,0,1,10,7.08
Juventus,4,286,0,1,6,1,3,7,0,0,7.08
FC Bayern München,8,660,0,0,2,0,5,0,0,2,7.08
Real Madrid,12,1076,0,0,0,0,4,0,4,9,7.08
AFC Ajax,8,570,0,0,0,0,7,0,0,2,7.06
FC Barcelona,5,375,0,1,5,2,1,8,2,3,7.06
Real Madrid,11,959,0,1,14,3,7,6,2,5,7.05
Chelsea,8,603,1,1,2,1,5,1,2,3,7.05
Benfica,9,810,0,0,6,0,0,0,1,5,7.04
Atlético Madrid,5,450,0,0,1,0,2,0,0,1,7.04
Sevilla,6,539,0,0,0,0,2,0,1,4,7.03
Sheriff Tiraspol,6,540,0,0,1,0,1,1,0,3,7.03
Milan,5,392,0,0,1,0,1,0,0,1,7.02
Juventus,7,553,1,0,4,0,3,1,1,6,7.01
Benfica,2,180,1,0,0,0,1,0,1,1,7.0
Manchester United,6,534,1,0,1,0,1,0,2,4,7.0
Inter,6,487,1,0,2,0,0,0,3,4,7.0
Villarreal,12,1080,1,0,3,2,5,0,1,4,7.0
Beşiktaş JK,1,90,0,0,0,0,1,0,0,1,7.0
Juventus,4,180,0,0,1,0,1,0,1,1,7.0
Shakhtar Donetsk,4,360,0,0,0,0,3,0,0,2,7.0
Manchester United,3,233,0,0,2,0,3,2,1,4,6.97
FC Bayern München,7,515,0,0,3,0,1,0,0,2,6.96
FC Barcelona,4,345,0,0,0,0,1,0,1,4,6.95
Manchester City,7,577,1,0,5,0,1,1,1,2,6.94
Manchester City,6,326,1,0,1,0,0,0,1,4,6.93
AFC Ajax,3,139,0,1,3,1,0,0,0,1,6.93
Borussia Dortmund,3,182,0,0,3,0,3,0,0,2,6.93
BSC Young Boys,6,462,0,0,3,0,1,1,3,3,6.93
Liverpool FC,7,630,0,0,1,0,3,0,2,5,6.93
Lille,7,591,0,0,3,0,6,3,0,4,6.93
Manchester United,5,353,0,0,0,0,1,0,2,2,6.92
Sevilla,5,380,0,0,7,0,5,10,0,0,6.92
Red Bull Salzburg,5,437,0,0,0,0,3,0,0,0,6.92
Real Madrid,12,1040,1,0,4,0,1,2,1,5,6.92
Benfica,10,900,0,0,0,0,3,0,1,6,6.91
Shakhtar Donetsk,1,90,0,0,0,0,0,0,0,0,6.9
Liverpool FC,2,91,0,0,0,0,1,0,0,0,6.9
Sevilla,4,192,0,0,1,0,0,2,1,1,6.9
Manchester United,5,426,0,0,0,0,0,1,0,0,6.9
Lille,5,418,0,0,1,0,2,0,1,3,6.9
Benfica,5,236,0,0,1,0,1,1,0,0,6.9
Sporting CP,6,368,0,0,0,0,0,0,0,0,6.9
Villarreal,12,1045,0,0,0,0,1,0,0,2,6.89
Atlético Madrid,9,700,0,0,11,1,5,1,1,2,6.89
Manchester City,8,501,0,2,8,3,2,4,0,6,6.89
Lille,8,720,0,0,3,1,0,0,0,4,6.89
Lille,7,537,0,0,2,0,6,0,0,1,6.89
Chelsea,9,680,1,1,2,1,3,3,3,3,6.88
Manchester City,9,796,0,0,0,0,1,0,1,5,6.88
BSC Young Boys,4,347,0,0,1,0,1,0,1,2,6.88
Manchester City,8,637,0,0,0,0,2,0,1,7,6.88
Manchester City,8,663,0,1,2,1,1,0,1,4,6.87
Real Madrid,10,867,0,3,5,1,11,3,0,2,6.87
Sheriff Tiraspol,6,540,0,3,4,2,8,8,1,3,6.87
Sporting CP,6,509,0,2,5,0,20,1,1,1,6.87
AFC Ajax,3,146,0,1,1,1,0,0,0,2,6.87
Milan,3,270,0,0,0,0,0,0,1,2,6.87
Dynamo Kyiv,6,540,0,0,0,0,0,0,0,2,6.87
Chelsea,8,546,0,0,10,1,5,12,4,12,6.86
Red Bull Salzburg,7,573,1,0,0,0,2,0,2,8,6.86
Atalanta,6,370,1,0,1,0,1,0,2,2,6.85
Red Bull Salzburg,2,29,0,1,1,1,0,0,0,1,6.85
FC Bayern München,4,52,0,0,3,0,1,0,0,0,6.85
Real Madrid,9,574,0,0,4,0,4,0,0,1,6.84
Paris Saint-Germain,7,630,0,0,1,0,1,0,0,0,6.84
Borussia Dortmund,5,450,0,0,2,0,1,0,0,1,6.84
Atlético Madrid,3,220,0,0,1,0,0,1,0,0,6.83
Benfica,3,270,0,0,2,0,0,0,1,3,6.83
Villarreal,5,130,0,1,1,1,0,0,0,1,6.83
Milan,5,418,1,0,0,0,0,0,2,3,6.82
Red Bull Salzburg,5,328,0,0,1,0,1,0,2,2,6.82
VfL Wolfsburg,6,540,0,0,1,0,2,0,0,2,6.82
Atlético Madrid,7,585,0,0,0,0,2,0,0,5,6.81
Benfica,9,714,1,0,2,0,14,4,1,3,6.81
Chelsea,3,175,1,0,1,0,1,0,1,3,6.8
Real Madrid,1,66,0,0,1,0,0,1,0,1,6.8
Inter,1,9,0,0,1,0,0,1,0,0,6.8
Manchester United,1,29,0,0,0,0,0,0,0,0,6.8
BSC Young Boys,1,90,0,0,0,0,0,0,0,1,6.8
Dynamo Kyiv,1,90,0,0,0,0,1,0,0,0,6.8
Milan,2,91,0,0,0,0,1,0,0,0,6.8
Milan,5,450,0,0,6,1,17,5,1,3,6.8
Red Bull Salzburg,8,720,0,0,0,0,8,0,2,9,6.79
Manchester United,6,419,0,0,1,0,8,0,0,1,6.78
Manchester United,5,398,0,2,4,1,3,4,0,1,6.78
Malmö FF,5,413,0,0,1,0,2,0,0,0,6.78
VfL Wolfsburg,5,430,0,0,1,0,1,0,0,1,6.78
Borussia Dortmund,6,484,0,1,3,0,11,1,1,1,6.77
Shakhtar Donetsk,5,356,0,0,3,0,5,0,0,3,6.76
Dynamo Kyiv,5,450,0,0,0,0,0,0,0,1,6.76
Zenit St. Petersburg,5,444,0,0,0,0,0,0,1,5,6.76
RB Leipzig,6,484,1,1,4,0,2,1,2,5,6.75
FC Bayern München,2,21,0,1,1,1,0,0,0,0,6.75
Borussia Dortmund,4,195,0,1,5,1,3,3,0,0,6.75
RB Leipzig,6,405,0,1,5,1,7,0,3,5,6.75
Chelsea,2,100,0,0,0,0,1,0,0,0,6.75
Paris Saint-Germain,8,582,0,0,3,2,12,1,2,2,6.75
Inter,8,666,0,0,1,0,2,2,0,1,6.75
Dynamo Kyiv,5,366,0,0,2,0,0,1,0,0,6.74
Sporting CP,6,450,0,0,1,0,4,0,0,1,6.74
Real Madrid,3,93,0,0,0,0,0,1,0,2,6.73
Club Brugge KV,3,131,0,0,0,0,0,0,0,0,6.73
Juventus,7,627,0,0,1,1,4,0,0,2,6.73
Sheriff Tiraspol,6,540,0,0,0,0,1,0,0,1,6.72
Sporting CP,8,611,0,0,0,0,8,1,0,4,6.71
Atlético Madrid,10,486,1,2,8,1,6,5,2,4,6.71
VfL Wolfsburg,6,413,1,0,3,0,4,0,1,2,6.7
Beşiktaş JK,2,180,0,0,0,0,1,0,0,0,6.7
Sevilla,3,79,0,0,2,0,0,1,0,0,6.7
Sevilla,4,332,0,0,4,0,1,6,0,1,6.7
FC Barcelona,5,367,0,0,0,0,6,1,0,3,6.7
Liverpool FC,7,260,0,0,2,0,2,0,1,1,6.69
Beşiktaş JK,4,306,1,0,0,0,0,0,1,1,6.68
RB Leipzig,4,315,0,0,2,0,1,0,0,0,6.68
FC Bayern München,4,211,0,0,0,0,1,0,0,0,6.68
Sporting CP,7,529,1,0,4,1,6,3,3,8,6.67
Villarreal,10,447,0,1,5,3,6,5,1,6,6.67
BSC Young Boys,6,387,1,1,6,1,1,5,1,2,6.67
Malmö FF,3,191,0,0,0,0,1,0,0,0,6.67
Atlético Madrid,5,304,0,0,0,0,0,1,0,1,6.66
Shakhtar Donetsk,5,450,0,0,0,0,1,0,0,3,6.66
Shakhtar Donetsk,2,82,0,0,1,0,0,0,0,1,6.65
BSC Young Boys,2,180,0,0,0,0,0,0,1,1,6.65
FC Barcelona,4,234,0,0,1,0,8,0,1,3,6.65
Atalanta,5,435,0,1,3,0,4,0,0,3,6.64
FC Porto,5,450,0,0,1,0,2,2,0,2,6.64
Paris Saint-Germain,7,361,0,0,0,0,2,0,0,2,6.63
RB Leipzig,4,64,0,0,0,0,0,0,0,2,6.63
Atalanta,5,260,0,0,2,0,0,1,0,0,6.62
Atlético Madrid,6,425,0,0,0,0,5,0,0,2,6.62
Shakhtar Donetsk,3,192,0,1,1,0,0,0,0,0,6.6
Juventus,1,13,0,0,0,0,0,0,0,0,6.6
Red Bull Salzburg,1,9,0,0,0,0,0,0,0,0,6.6
Atalanta,1,90,0,0,1,0,0,1,0,0,6.6
Sevilla,4,125,0,0,0,0,0,0,0,0,6.6
RB Leipzig,6,334,0,0,3,0,4,0,0,5,6.6
Paris Saint-Germain,8,718,0,0,6,0,11,0,0,1,6.59
Sporting CP,7,561,0,1,1,1,1,0,0,1,6.59
Dynamo Kyiv,6,157,0,0,1,0,1,0,0,3,6.58
FC Bayern München,5,129,0,0,2,0,4,1,0,2,6.58
Beşiktaş JK,5,405,0,0,2,0,7,2,0,1,6.58
FC Barcelona,4,252,0,0,1,0,0,0,0,2,6.58
Zenit St. Petersburg,4,300,0,0,2,0,0,0,0,3,6.58
VfL Wolfsburg,3,204,0,0,0,0,0,0,0,1,6.57
BSC Young Boys,5,435,0,0,6,1,5,5,1,5,6.56
RB Leipzig,5,357,0,0,1,0,0,0,0,0,6.56
Sporting CP,8,384,0,2,3,0,1,1,0,2,6.55
Juventus,2,81,0,0,0,0,2,0,0,0,6.55
Inter,3,101,0,0,0,0,0,0,1,2,6.55
Milan,4,315,0,0,0,0,0,1,0,1,6.55
Villarreal,10,891,0,0,1,0,10,0,0,4,6.55
Inter,3,146,0,0,1,0,0,0,0,1,6.53
FC Porto,4,351,0,0,3,0,5,1,0,0,6.53
Dynamo Kyiv,4,160,0,0,3,0,3,0,1,1,6.53
VfL Wolfsburg,6,328,0,0,2,0,10,4,0,1,6.52
Manchester City,1,10,0,0,0,0,0,0,0,0,6.5
RB Leipzig,1,10,0,0,0,0,0,0,0,0,6.5
FC Porto,2,126,0,0,0,0,0,0,0,0,6.5
Villarreal,2,18,0,0,0,0,0,0,0,0,6.5
Beşiktaş JK,3,253,0,0,0,0,3,2,0,0,6.5
Milan,4,88,0,0,1,0,0,3,0,3,6.5
Lille,4,243,0,0,0,0,2,0,0,2,6.5
Red Bull Salzburg,5,161,0,0,4,0,9,1,0,0,6.5
Club Brugge KV,6,527,0,0,4,1,4,3,1,2,6.5
Villarreal,7,310,1,0,7,1,2,1,2,3,6.49
Zenit St. Petersburg,4,315,0,0,1,0,0,1,0,1,6.48
BSC Young Boys,3,167,0,0,3,0,0,1,0,1,6.47
Sheriff Tiraspol,3,51,0,0,0,0,0,0,1,1,6.47
Club Brugge KV,6,484,0,0,1,0,1,0,0,0,6.47
Malmö FF,6,284,0,0,1,0,1,2,1,1,6.47
Sporting CP,2,28,0,0,0,0,0,0,0,1,6.45
FC Porto,6,389,0,0,3,0,0,1,0,2,6.45
Red Bull Salzburg,7,279,0,0,0,0,1,1,0,1,6.44
Milan,5,214,0,0,1,0,2,1,1,2,6.44
Club Brugge KV,6,540,0,0,1,0,1,0,1,2,6.43
Dynamo Kyiv,5,450,0,0,0,0,2,3,1,3,6.42
Borussia Dortmund,5,171,0,0,1,0,1,0,0,0,6.42
Malmö FF,5,450,0,0,0,0,1,0,0,2,6.42
FC Barcelona,2,25,0,0,1,0,1,0,0,1,6.4
Villarreal,2,29,0,0,0,0,0,0,0,0,6.4
Borussia Dortmund,2,74,0,0,1,0,3,0,0,0,6.4
Borussia Dortmund,2,97,0,0,1,0,1,1,0,1,6.4
FC Porto,2,155,0,0,2,0,0,0,0,2,6.4
VfL Wolfsburg,4,330,0,0,1,0,0,0,0,0,6.4
Sheriff Tiraspol,6,312,0,0,4,0,5,2,1,3,6.4
Malmö FF,5,447,0,0,0,0,0,0,0,0,6.38
Beşiktaş JK,3,270,0,0,2,0,4,5,0,0,6.37
BSC Young Boys,3,117,0,0,1,0,0,0,0,1,6.37
Atlético Madrid,7,472,0,0,0,0,2,0,0,1,6.37
Sporting CP,2,63,0,0,0,0,1,0,0,0,6.35
RB Leipzig,4,296,0,0,1,0,1,1,0,1,6.35
Sporting CP,1,73,0,0,1,0,1,0,0,1,6.3
RB Leipzig,1,24,0,0,1,1,0,0,1,1,6.3
Malmö FF,1,8,0,0,0,0,0,0,0,0,6.3
Beşiktaş JK,2,135,0,0,0,0,1,0,0,0,6.3
VfL Wolfsburg,4,171,0,0,0,0,3,0,0,0,6.3
VfL Wolfsburg,6,363,0,0,0,0,6,0,0,1,6.3
Club Brugge KV,4,163,0,0,0,0,1,1,0,3,6.28
Beşiktaş JK,4,313,0,0,0,0,1,0,0,0,6.28
Paris Saint-Germain,3,64,0,0,0,0,0,0,0,0,6.25
Red Bull Salzburg,8,716,0,0,3,0,2,0,2,5,6.25
Red Bull Salzburg,2,84,0,0,0,0,2,0,0,0,6.2
Sheriff Tiraspol,3,82,0,0,0,0,0,0,0,0,6.2
FC Porto,4,132,0,0,1,0,1,0,0,1,6.2
Beşiktaş JK,3,189,0,0,0,0,1,2,0,0,6.13
Malmö FF,4,278,0,0,3,0,1,3,0,1,5.93
Atalanta,1,45,0,0,0,0,0,0,0,0,5.9
Liverpool FC,1,1,0,0,0,0,0,0,0,0,0.0
Juventus,1,3,0,0,0,0,0,0,0,0,0.0
BSC Young Boys,1,1,0,0,0,0,0,0,0,0,0.0
Real Madrid,2,8,0,0,0,0,0,0,0,0,0.0
FC Bayern München,9,632,2,3,25,6,37,13,6,21,7.74
Manchester City,12,987,7,2,19,2,17,11,18,37,7.68
FC Bayern München,8,702,0,0,20,0,3,16,3,8,7.66
FC Bayern München,10,798,6,6,15,5,24,6,14,34,7.65
Beşiktaş JK,3,261,0,2,10,3,3,7,0,3,7.5
Manchester City,1,45,0,0,2,1,4,0,0,0,7.5
Manchester United,7,520,0,6,23,8,5,3,2,10,7.44
Sporting CP,5,330,4,1,11,2,4,6,7,13,7.44
AFC Ajax,7,577,2,4,10,3,10,3,10,26,7.43
Sheriff Tiraspol,6,540,2,1,9,2,1,5,6,13,7.4
Borussia Dortmund,6,502,1,3,8,1,19,1,4,14,7.4
FC Bayern München,6,466,0,0,8,2,2,1,3,16,7.4
Chelsea,8,561,2,2,8,2,3,2,2,4,7.38
Real Madrid,12,902,2,0,15,1,5,7,7,12,7.37
Inter,8,635,1,1,9,2,4,7,1,11,7.35
Liverpool FC,13,1009,8,2,23,4,26,1,22,43,7.3
Inter,6,419,0,0,19,1,3,15,1,5,7.3
FC Bayern München,10,778,4,4,21,2,7,6,8,14,7.29
Paris Saint-Germain,5,431,0,0,10,0,14,0,0,0,7.28
Villarreal,12,1054,1,3,22,5,2,19,1,6,7.28
Manchester City,10,734,2,3,25,3,11,11,7,24,7.27
Zenit St. Petersburg,6,460,2,0,13,1,9,7,4,13,7.27
Club Brugge KV,6,540,3,0,4,2,16,1,7,13,7.23
Liverpool FC,7,322,5,0,3,0,4,0,6,12,7.23
Borussia Dortmund,6,499,3,1,4,2,8,1,9,16,7.22
Manchester City,7,461,1,1,12,4,9,1,4,10,7.21
Atalanta,5,303,1,0,6,2,5,13,4,11,7.2
Inter,8,531,0,1,14,2,6,9,3,15,7.19
Inter,7,409,1,2,6,1,5,2,2,3,7.19
Inter,6,496,0,0,13,1,5,5,0,8,7.18
Liverpool FC,4,184,0,2,4,1,7,0,4,7,7.18
Borussia Dortmund,4,212,0,2,5,2,7,3,1,6,7.18
Shakhtar Donetsk,4,269,0,1,7,2,10,2,1,6,7.18
Manchester City,10,842,0,0,6,0,6,0,1,6,7.17
Juventus,5,298,0,3,11,1,6,7,5,7,7.16
Zenit St. Petersburg,6,434,0,1,12,3,11,5,3,11,7.15
Chelsea,8,358,0,1,9,3,17,1,1,5,7.14
RB Leipzig,6,393,2,2,8,3,2,5,4,11,7.13
BSC Young Boys,6,532,1,1,7,2,32,3,2,10,7.12
Manchester City,11,658,3,2,11,5,6,7,10,21,7.11
Real Madrid,13,1077,0,4,14,4,14,3,5,14,7.11
FC Bayern München,8,391,3,0,10,3,11,0,8,18,7.1
Zenit St. Petersburg,1,10,1,0,0,0,0,0,1,1,7.1
VfL Wolfsburg,6,540,0,3,10,1,2,7,1,5,7.1
Juventus,7,472,0,0,11,2,10,9,0,3,7.1
Juventus,7,539,0,0,3,2,3,1,0,8,7.1
Atlético Madrid,9,577,1,0,10,3,4,5,4,13,7.09
Zenit St. Petersburg,6,485,1,0,3,0,3,0,4,7,7.08
Chelsea,6,426,0,1,5,0,12,0,0,4,7.08
Sevilla,5,275,2,1,4,2,1,3,3,8,7.08
Liverpool FC,12,666,1,1,13,1,0,4,4,11,7.08
Real Madrid,11,914,0,0,7,0,12,1,2,10,7.07
Atalanta,6,527,1,1,6,0,4,0,2,2,7.07
FC Bayern München,4,234,0,1,3,1,1,0,2,4,7.07
Liverpool FC,6,306,0,0,2,0,16,3,3,10,7.07
Real Madrid,8,350,0,0,10,1,6,3,0,0,7.06
Liverpool FC,13,849,1,0,8,1,5,0,1,5,7.05
Inter,2,101,1,0,0,0,2,0,2,3,7.05
Liverpool FC,10,604,1,0,4,0,10,1,3,9,7.05
RB Leipzig,4,182,0,0,4,1,2,0,0,1,7.05
FC Porto,6,301,1,0,8,2,1,9,1,2,7.03
Chelsea,3,96,0,0,6,1,2,3,1,3,7.03
Shakhtar Donetsk,6,473,0,0,11,0,1,6,0,5,7.03
Liverpool FC,13,824,5,0,18,4,16,1,8,21,7.03
Juventus,5,383,0,1,4,1,2,0,0,2,7.02
FC Barcelona,6,487,0,0,3,0,1,0,0,2,7.02
Lille,4,167,1,1,2,1,1,1,1,3,7.0
Manchester City,8,347,0,2,4,2,2,2,0,4,7.0
Manchester United,3,101,0,0,1,0,1,0,1,2,7.0
Sevilla,4,119,0,0,3,0,8,1,2,3,7.0
Sevilla,6,540,0,0,4,0,9,0,0,0,6.98
Dynamo Kyiv,6,486,0,0,4,0,9,4,3,7,6.98
Chelsea,5,160,0,0,1,0,2,0,2,5,6.98
Red Bull Salzburg,8,650,0,1,10,2,3,5,3,4,6.98
Chelsea,9,451,1,2,10,3,7,11,6,14,6.97
Borussia Dortmund,3,142,0,0,4,2,0,2,0,3,6.97
Liverpool FC,13,914,4,1,15,3,36,2,11,29,6.96
Chelsea,5,289,1,2,7,1,7,3,2,6,6.96
Manchester City,11,880,3,3,13,1,15,3,4,7,6.95
Real Madrid,11,803,0,1,8,1,12,1,1,10,6.95
Villarreal,12,1045,2,4,7,3,7,2,3,10,6.94
Paris Saint-Germain,5,262,0,1,6,3,2,1,2,8,6.94
Red Bull Salzburg,8,672,0,0,3,0,14,0,0,3,6.94
Chelsea,6,427,0,1,10,2,7,0,0,3,6.93
Manchester City,10,659,0,2,15,3,6,4,1,14,6.93
RB Leipzig,4,208,2,0,8,1,5,4,2,5,6.93
FC Barcelona,4,247,0,0,5,2,9,1,0,3,6.93
BSC Young Boys,5,420,0,0,7,0,0,0,1,5,6.92
Sheriff Tiraspol,6,530,2,1,2,0,12,1,5,11,6.92
Dynamo Kyiv,6,536,0,0,0,0,5,0,1,3,6.92
Benfica,8,501,0,3,9,2,4,5,1,1,6.91
Sporting CP,8,510,2,1,11,3,2,10,4,6,6.9
Zenit St. Petersburg,4,258,1,0,3,0,3,2,1,3,6.9
BSC Young Boys,6,505,0,2,9,1,3,8,2,7,6.9
Beşiktaş JK,1,17,0,0,0,0,0,0,0,0,6.9
Liverpool FC,2,180,0,0,1,0,2,0,0,0,6.9
Milan,3,61,0,0,2,1,1,0,0,2,6.9
Manchester United,6,440,0,0,2,0,2,1,2,5,6.9
Juventus,7,536,0,0,0,0,3,0,2,7,6.9
FC Barcelona,6,523,0,0,6,1,7,0,1,3,6.88
Inter,7,287,0,0,8,0,0,12,2,7,6.88
Benfica,9,810,0,1,6,1,7,0,1,2,6.88
AFC Ajax,8,703,0,1,6,1,14,0,5,8,6.88
Shakhtar Donetsk,4,343,0,0,6,1,10,2,3,10,6.88
FC Bayern München,8,448,1,0,3,0,15,0,3,9,6.87
Paris Saint-Germain,6,333,1,0,2,0,2,2,2,3,6.87
BSC Young Boys,5,240,1,0,5,0,0,3,3,5,6.86
Benfica,10,863,0,3,14,2,13,10,1,3,6.86
Atlético Madrid,9,578,0,0,1,0,4,0,1,6,6.86
VfL Wolfsburg,5,201,0,1,4,2,1,1,0,1,6.85
FC Barcelona,2,158,0,0,1,0,2,0,0,1,6.85
Sevilla,4,228,0,0,4,1,4,4,2,8,6.85
Borussia Dortmund,6,471,0,0,2,1,1,0,1,1,6.85
Paris Saint-Germain,7,406,1,0,1,0,6,0,2,3,6.84
FC Porto,6,320,0,1,1,1,2,0,6,7,6.84
Manchester United,5,400,0,0,0,0,4,0,1,4,6.84
Sevilla,6,463,1,1,4,1,12,3,3,12,6.83
Dynamo Kyiv,6,324,1,0,1,0,3,0,3,7,6.83
Borussia Dortmund,3,126,0,0,4,0,4,1,0,2,6.83
RB Leipzig,3,270,0,0,0,0,2,0,0,1,6.83
FC Porto,6,450,0,0,12,0,4,8,0,6,6.83
Zenit St. Petersburg,6,540,0,0,2,0,3,0,0,1,6.83
Atalanta,5,210,0,1,4,2,0,3,1,4,6.83
RB Leipzig,5,432,0,3,5,3,3,6,1,5,6.82
Sevilla,5,322,0,0,4,0,8,1,1,5,6.82
Real Madrid,8,210,1,2,2,1,1,0,3,6,6.82
Villarreal,6,524,0,0,8,1,9,0,0,5,6.82
AFC Ajax,7,558,0,0,3,0,3,0,1,7,6.81
Paris Saint-Germain,5,261,2,0,2,1,1,0,4,4,6.8
Club Brugge KV,6,417,2,0,0,0,0,0,4,8,6.8
Villarreal,9,330,1,0,8,0,0,0,6,6,6.8
Atalanta,2,33,0,1,1,1,2,0,0,1,6.8
Sporting CP,1,9,0,0,0,0,0,0,0,0,6.8
