category,n_features,total_mean_abs_shap,percentage
Context-adjusted form,3,0.5836772321888136,29.637382962505132
Raw form,6,0.4413305769257389,22.409445837661607
Categorical player/team context,5,0.413347178382897,20.988532611191385
Workload,13,0.1700443409780236,8.634342709023484
Injury history,7,0.10443699882781537,5.302998230901331
Match context,12,0.07762971735123213,3.941804709054044
Effort,4,0.06028971515974526,3.061331294676405
Scheduling context,5,0.05676622705732918,2.8824191142860025
Competition congestion,9,0.05226925634483572,2.6540764004927326
Other / unassigned,7,0.009604073931631046,0.4876661302078743
