fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,home_goals_prevented,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,away_goals_prevented,home_red_cards,away_red_cards
1298985,2024-09-17T16:45:00+00:00,Champions League,2024,League Stage - 1,BSC Young Boys,565,True,Aston Villa,66,0,3,Loss,0,FT,5.0,6.0,12.0,1.0,7.0,5.0,14.0,3.0,4.0,47%,4.0,4.0,362.0,302.0,83%,0.59,0.29,,,,,,,,,,,,,,,,,,,
1298985,2024-09-17T16:45:00+00:00,Champions League,2024,League Stage - 1,Aston Villa,66,False,BSC Young Boys,565,3,0,Win,3,FT,,,,,,,,,,,,,,,,,,7.0,8.0,20.0,5.0,11.0,9.0,12.0,6.0,0.0,53%,1.0,5.0,406.0,349.0,86%,2.04,0.29,,
1298987,2024-09-17T19:00:00+00:00,Champions League,2024,League Stage - 1,AC Milan,489,True,Liverpool,40,1,3,Loss,0,FT,2.0,4.0,8.0,2.0,6.0,2.0,9.0,2.0,3.0,49%,2.0,8.0,446.0,372.0,83%,0.61,-0.38,,,,,,,,,,,,,,,,,,,
1298987,2024-09-17T19:00:00+00:00,Champions League,2024,League Stage - 1,Liverpool,40,False,AC Milan,489,3,1,Win,3,FT,,,,,,,,,,,,,,,,,,11.0,8.0,23.0,4.0,17.0,6.0,12.0,5.0,4.0,51%,2.0,1.0,460.0,399.0,87%,3.09,-0.38,,
1298994,2024-09-18T19:00:00+00:00,Champions League,2024,League Stage - 1,Manchester City,50,True,Inter,505,0,0,Draw,1,FT,5.0,10.0,22.0,7.0,16.0,6.0,12.0,4.0,2.0,60%,1.0,3.0,651.0,597.0,92%,2.35,1.20,,,,,,,,,,,,,,,,,,,
1298994,2024-09-18T19:00:00+00:00,Champions League,2024,League Stage - 1,Inter,505,False,Manchester City,50,0,0,Draw,1,FT,,,,,,,,,,,,,,,,,,4.0,7.0,13.0,2.0,8.0,5.0,9.0,3.0,3.0,40%,0.0,5.0,437.0,376.0,86%,0.75,1.20,,
1298998,2024-09-19T19:00:00+00:00,Champions League,2024,League Stage - 1,Atalanta,499,True,Arsenal,42,0,0,Draw,1,FT,2.0,5.0,8.0,1.0,5.0,3.0,7.0,4.0,0.0,54%,1.0,2.0,496.0,414.0,83%,1.20,1.47,,,,,,,,,,,,,,,,,,,
1298998,2024-09-19T19:00:00+00:00,Champions League,2024,League Stage - 1,Arsenal,42,False,Atalanta,499,0,0,Draw,1,FT,,,,,,,,,,,,,,,,,,2.0,3.0,6.0,1.0,4.0,2.0,10.0,2.0,3.0,46%,0.0,2.0,433.0,362.0,84%,0.78,1.47,,
1299010,2024-10-01T19:00:00+00:00,Champions League,2024,League Stage - 2,Arsenal,42,True,Paris Saint Germain,85,2,0,Win,3,FT,5.0,1.0,6.0,0.0,5.0,1.0,8.0,1.0,3.0,35%,1.0,2.0,355.0,289.0,81%,0.76,-0.50,,,,,,,,,,,,,,,,,,,
1299010,2024-10-01T19:00:00+00:00,Champions League,2024,League Stage - 2,Paris Saint Germain,85,False,Arsenal,42,0,2,Loss,0,FT,,,,,,,,,,,,,,,,,,2.0,7.0,10.0,1.0,5.0,5.0,8.0,5.0,1.0,65%,1.0,3.0,645.0,578.0,90%,0.31,-0.50,,
