Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Mohamed Salah,egEGY,"FW,MF",32,52,50,"4,490",49.9,34,23,57,23,11,12,1,0,0.68,0.46,1.14,0.46,0.92,Matches
Virgil van Dijk,nlNED,DF,33,49,49,"4,436",49.3,5,1,6,5,0,0,7,0,0.10,0.02,0.12,0.10,0.12,Matches
Ryan Gravenberch,nlNED,MF,22,49,49,"4,196",46.6,0,4,4,0,0,0,7,1,0.00,0.09,0.09,0.00,0.09,Matches
Alexis Mac Allister,arARG,MF,25,49,40,"3,558",39.5,7,6,13,7,0,0,11,0,0.18,0.15,0.33,0.18,0.33,Matches
Dominik Szoboszlai,huHUN,MF,23,49,40,"3,421",38.0,8,8,16,8,0,0,6,0,0.21,0.21,0.42,0.21,0.42,Matches
Ibrahima Konaté,frFRA,DF,25,42,39,"3,365",37.4,2,2,4,2,0,0,8,0,0.05,0.05,0.11,0.05,0.11,Matches
Luis Díaz,coCOL,"FW,MF",27,50,38,"3,323",36.9,17,5,22,17,0,0,3,0,0.46,0.14,0.60,0.46,0.60,Matches
Andrew Robertson,sctSCO,DF,30,45,38,"3,311",36.8,0,2,2,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,Matches
Alisson,brBRA,GK,31,35,35,"3,168",35.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Trent Alexander-Arnold,engENG,DF,25,44,37,"3,073",34.1,4,7,11,4,0,0,5,0,0.12,0.21,0.32,0.12,0.32,Matches
Cody Gakpo,nlNED,"FW,MF",25,49,32,"2,690",29.9,18,6,24,17,1,1,5,0,0.60,0.20,0.80,0.57,0.77,Matches
Curtis Jones,engENG,MF,23,46,27,"2,438",27.1,3,6,9,3,0,0,3,1,0.11,0.22,0.33,0.11,0.33,Matches
Darwin Núñez,uyURU,FW,25,47,17,"2,058",22.9,7,5,12,7,0,0,9,0,0.31,0.22,0.52,0.31,0.52,Matches
Diogo Jota,ptPOR,FW,27,37,22,"1,831",20.3,9,3,12,9,0,0,2,0,0.44,0.15,0.59,0.44,0.59,Matches
Caoimhín Kelleher,ieIRL,GK,25,20,20,"1,800",20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kostas Tsimikas,grGRE,DF,28,29,18,"1,676",18.6,0,2,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
Conor Bradley,nirNIR,DF,21,29,14,"1,391",15.5,0,4,4,0,0,0,4,0,0.00,0.26,0.26,0.00,0.26,Matches
Jarell Quansah,engENG,DF,21,25,13,"1,298",14.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Wataru Endo,jpJPN,MF,31,32,7,879,9.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Joe Gomez,engENG,DF,27,17,11,876,9.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Harvey Elliott,engENG,MF,21,28,6,838,9.3,5,3,8,5,0,0,4,0,0.54,0.32,0.86,0.54,0.86,Matches
Federico Chiesa,itITA,FW,26,14,4,470,5.2,2,1,3,2,0,0,1,0,0.38,0.19,0.57,0.38,0.57,Matches
Tyler Morton,engENG,MF,21,5,3,260,2.9,0,1,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches
James McConnell,engENG,MF,19,4,2,239,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Trey Nyoni,engENG,MF,17,5,2,226,2.5,0,1,1,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches
Jayden Danns,engENG,FW,18,4,1,117,1.3,1,0,1,1,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches
Vitezslav Jaros,czCZE,GK,23,2,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rio Ngumoha,engENG,FW,15,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Isaac Mabaya,engENG,MF,19,1,0,47,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Trent Doherty,ieIRL,MF,18,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Amara Nallo,engENG,DF,17,1,0,4,0.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Kieran Morrison,nirNIR,MF,17,0,0,,,,,,,,,,,,,,,,Matches
Harvey Davies,engENG,GK,20,0,0,,,,,,,,,,,,,,,,Matches
James Norris,engENG,"DF,MF",21,0,0,,,,,,,,,,,,,,,,Matches
Ranel Young,engENG,MF,18,0,0,,,,,,,,,,,,,,,,Matches
