Season,Season_Label,Team,Total_Player_Fixture_Absences,Total_Injury_Player_Fixture_Absences,Mean_Injury_Players_Missing_Per_Match,Total_Soft_Tissue_Missing,Mean_Soft_Tissue_Missing_Per_Match,Unique_Players_Missing,Max_Injury_Players_Missing_In_Match,Total_Matches
2024-2025,2024/25,Arsenal,221,210,5.53,76,2.0,21,6,38
2024-2025,2024/25,Aston Villa,119,111,2.92,52,1.37,24,5,38
2024-2025,2024/25,Bournemouth,156,144,3.79,74,1.95,19,8,38
2024-2025,2024/25,Brentford,183,183,4.82,55,1.45,17,8,38
2024-2025,2024/25,Brighton,175,170,4.47,64,1.68,23,8,38
2024-2025,2024/25,Chelsea,160,131,3.45,101,2.66,22,7,38
2024-2025,2024/25,Crystal Palace,143,129,3.39,51,1.34,19,8,38
2024-2025,2024/25,Everton,154,149,3.92,66,1.74,16,8,38
2024-2025,2024/25,Fulham,93,85,2.24,34,0.89,14,5,38
2024-2025,2024/25,Ipswich,171,162,4.26,71,1.87,23,7,38
2024-2025,2024/25,Leicester,162,156,4.11,47,1.24,19,8,38
2024-2025,2024/25,Liverpool,117,111,2.92,56,1.47,20,6,38
2024-2025,2024/25,Manchester City,178,175,4.61,48,1.26,19,6,38
2024-2025,2024/25,Manchester United,266,258,6.79,71,1.87,27,8,38
2024-2025,2024/25,Newcastle,135,126,3.32,20,0.53,18,5,38
2024-2025,2024/25,Nottingham Forest,55,49,1.29,10,0.26,12,2,38
2024-2025,2024/25,Southampton,119,102,2.68,50,1.32,21,7,38
2024-2025,2024/25,Tottenham,270,257,6.76,112,2.95,27,9,38
2024-2025,2024/25,West Ham,82,69,1.82,18,0.47,17,5,38
2024-2025,2024/25,Wolves,194,184,4.84,14,0.37,23,8,38
