name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,875,M,1085950,"{'nameTranslation': {'ar': 'تيم إيروغبونام', 'bn': 'টিম ইরোগবুনাম', 'hi': 'टिम इरोएगबुनम'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'bn': 'টি. ইরোগবুনাম', 'hi': 'टी. इरोएगबुनम'}}",,,,37.73,75.91,10,Everton,1746280800_everton_vs_ipswich_town
Youssef Chermiti,youssef-chermiti,Y. Chermiti,F,9,2185,M,1145627,"{'nameTranslation': {'ar': 'يوسف شرميطي', 'bn': 'ইউসুফ চেরমিতি', 'hi': 'यूसुफ़ चेरमीटी'}, 'shortNameTranslation': {'ar': 'ي. شرميطي', 'bn': 'ওয়াই. চেরমিতি', 'hi': 'वाई. चेरमीटी'}}",,,,77.18,26.22,5,Everton,1746280800_everton_vs_ipswich_town
Ashley Young,ashley-young,A. Young,D,15,1801,M,10589,"{'nameTranslation': {'ar': 'آشلي يونغ', 'bn': 'অ্যাশলে ইয়াং', 'hi': 'एश्ले यंग'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'bn': 'এ. ইয়াং', 'hi': 'एक यंग'}}",,,,52.253846153846,15.023076923077,13,Everton,1746280800_everton_vs_ipswich_town
Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,6578,M,372344,"{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'bn': 'ডমিনিক কালভার্ট-লেউইন', 'hi': 'डोमिनिक कैल्वर्ट-लेविन'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'bn': 'ডি. কালভার্ট-লেউইন', 'hi': 'डी. कैल्वर्ट-लेविन'}}",Dominic,Calvert-Lewin,CalvertLewin14,61.291666666667,57.816666666667,12,Everton,1746280800_everton_vs_ipswich_town
Jack Harrison,jack-harrison,J. Harrison,F,17,1283,M,829570,"{'nameTranslation': {'ar': 'جاك هاريسون', 'bn': 'জ্যাক হ্যারিসন', 'hi': 'जैक हैरिसन'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'bn': 'জে. হ্যারিসন', 'hi': 'जे. हैरिसन'}}",Jack,Harrison,,75.01,15.12,10,Everton,1746280800_everton_vs_ipswich_town
Beto,beto,Beto,F,9,5366,M,987489,"{'nameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}, 'shortNameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}}",,,,74.5125,43.2475,40,Everton,1746280800_everton_vs_ipswich_town
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,4355,M,876643,"{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'bn': 'ভিটালি মাইকোলেনকো', 'hi': 'विटाली मायकोलेंको'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'bn': 'ভি. মাইকোলেনকো', 'hi': 'वी. मायकोलेंको'}}",Vitaliy,Mykolenko,mikola_16,59.724193548387,87.772580645161,62,Everton,1746280800_everton_vs_ipswich_town
James Garner,james-garner,J. Garner,M,37,3710,M,927361,"{'nameTranslation': {'ar': 'جيمس غارنر', 'bn': 'জেমস গার্নার', 'hi': 'जेम्स गार्नर'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'bn': 'জে. গার্নার', 'hi': 'जे. गार्नर'}}",James,Garner,,53.939361702128,47.005319148936,94,Everton,1746280800_everton_vs_ipswich_town
Jordan Pickford,jordan-pickford,J. Pickford,G,1,8292,M,138530,"{'nameTranslation': {'ar': 'جوردان بيكفورد', 'bn': 'জর্ডান পিকফোর্ড', 'hi': 'जॉर्डन पिकफोर्ड'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'bn': 'জে.পিকফোর্ড', 'hi': 'जे. पिकफोर्ड'}}",Jordan,Pickford,jpickford1,16.161818181818,55.623636363636,55,Everton,1746280800_everton_vs_ipswich_town
Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,61563,M,914309,"{'nameTranslation': {'ar': 'إليمان نداي', 'bn': 'ইলিমান এনদিয়ায়ে', 'hi': 'इलीमन नदिये'}, 'shortNameTranslation': {'ar': 'إ. نداي', 'bn': 'আই. এনদিয়ায়ে', 'hi': 'आई. नदिये'}}",,,ilimanndiaye10,65.425,48.4453125,64,Everton,1746280800_everton_vs_ipswich_town
